Time (sec),Preproc Start Time (ns),Preproc End Time (ns),Preproc Time Elapsed (ms),Class Start Time (ns),Class End Time (ns),Class Time Elapsed (ms),Total Time Elapsed (ms)
12,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.018648,21.791304
12,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,19.896252,21.668908
12,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,19.636877,21.409533
12,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,21.189012,22.961668
13,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,19.786513,21.559169
13,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.364117,22.136773
13,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.114586,21.887242
13,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,19.642242,21.414898
13,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,19.86745,21.640106
13,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.038075,21.810731
13,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.31021,22.082866
13,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,19.955367,21.728023
13,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.816564,22.58922
13,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.793492,22.566148
13,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,19.541981,21.314637
13,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.331564,22.10422
13,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.243596,22.016252
13,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,21.506565,23.279221
13,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.315419,22.088075
13,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,21.397919,23.170575
13,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,19.682762,21.455418
13,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,19.6612,21.433856
13,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.492397,22.265053
13,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.00844,21.781096
13,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.619585,22.392241
13,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.767658,22.540314
13,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,19.983336,21.755992
13,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,19.818075,21.590731
13,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,19.783648,21.556304
13,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.8087,22.581356
14,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,19.983752,21.756408
14,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.143023,21.915679
14,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.911252,22.683908
14,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.728336,22.500992
